13x4-nsp [dropping] [1],13x4-nsp [dropping] [1] [acc],13x4-nsp [dropping] [2],13x4-nsp [dropping] [2] [acc],13x4-nsp [dropping] [3],13x4-nsp [dropping] [3] [acc],21x2 [dropping] [1],21x2 [dropping] [1] [acc],21x2 [dropping] [2],21x2 [dropping] [2] [acc],21x2 [dropping] [3],21x2 [dropping] [3] [acc],13x4-nsp [adding] [1],13x4-nsp [adding] [1] [acc],13x4-nsp [adding] [2],13x4-nsp [adding] [2] [acc],13x4-nsp [adding] [3],13x4-nsp [adding] [3] [acc],21x2 [adding] [1],21x2 [adding] [1] [acc],21x2 [adding] [2],21x2 [adding] [2] [acc],21x2 [adding] [3],21x2 [adding] [3] [acc]
drop(MBNL1),77.53902228302114,drop(PCBP1),78.0960669335804,drop(A1CF),77.2198018914516,drop(MSI1),76.12812878308404,drop(KHDRBS2),75.79409365577303,drop(KHDRBS3),76.30650000996913,add(EIF4G2),65.65878750044773,add(RBM23),66.24549801420345,add(KHDRBS3),64.87953394433771,add(HNRNPA2B1),65.40636685599767,add(IGF2BP1),64.62667659932538,add(A1CF),63.326978531447466
drop(NOVA1),77.86592904559842,drop(KHDRBS3),77.91795044869,drop(HNRNPH2),78.0069601688505,drop(RBMS2),76.18016231674677,drop(HNRNPCL1),75.52659140301569,drop(HNRNPH2),76.96723568014745,add(HNRNPA1),66.1566945137529,add(PUM1),66.70599214044854,add(HNRNPD),66.75792862954188,add(HNRNPA1),66.31217645561121,add(RBM15B),64.36664236729463,add(HNRNPF),64.95335288105035
drop(HNRNPCL1),77.70956157204438,drop(HNRNPD),77.6727309524007,drop(SF1),75.89795450338853,drop(HNRNPD),76.25426025659642,drop(PCBP4),75.9053982629728,drop(IGF2BP2),75.55630578849684,add(HNRNPD),67.8791705565365,add(MBNL1),66.91375022739308,add(SFPQ),66.5057142048018,add(DAZAP1),66.93583889472234,add(RBM6),65.25766149230905,add(KHDRBS2),64.50775840454493
drop(MSI1),77.35323155769413,drop(PCBP4),77.89542508079843,drop(RBM4B),77.06385898788865,drop(NOVA1),75.46730819890749,drop(RBM45),76.45505980680367,drop(RBMS3),75.80140397907437,add(FUBP3),68.16118428075593,add(HNRNPA1),67.12926746877238,add(RBM4),66.66113549380424,add(NUPL2),67.38887713081203,add(SRSF8),65.66595225689498,add(RBM6),65.21313237108643
drop(KHSRP),76.67768115177435,drop(PTBP3),77.41307276807636,drop(SFPQ),76.24682862758335,drop(MBNL1),75.94275049717697,drop(RBM41),75.51180092841658,drop(SNRPA),75.44485561444299,add(MBNL1),68.07196834088546,add(ELAVL4),67.99793105389168,add(RBM4B),66.90628220666646,add(TIA1),67.98307992643669,add(ZCRB1),67.10656014231321,add(SF1),64.93812570588898
drop(BOLL),76.84105568435037,drop(PUF60),77.10107778580992,drop(SRSF5),76.53667428966463,drop(BOLL),76.202457203786,drop(PCBP1),75.34097050568514,drop(PUF60),75.86838568476149,add(BOLL),68.8886954369114,add(A1CF),68.4953407137787,add(PABPN1L),67.99799170674754,add(CELF1),69.2673688605856,add(RBM25),66.88389027505784,add(IGF2BP1),66.26020357480434
drop(RALY),76.8780561319905,drop(RALY),77.06408946874097,drop(NUPL2),76.13563319552416,drop(RALY),76.13564532609533,drop(PRR3),75.2595379813918,drop(PCBP1),75.38560880204831,add(PRR3),68.88887739547903,add(NOVA1),68.740353990358,add(ZCRB1),68.09408126935708,add(PTBP3),69.79454142823846,add(ZNF326),67.65576072443947,add(KHSRP),66.66102631866366
drop(IGF2BP2),77.19740995984297,drop(RBM22),76.5518165508278,drop(BOLL),76.35101700062054,drop(A1CF),75.56385872322166,drop(MSI1),75.28921597515941,drop(RBM22),76.04633234165547,add(A1CF),68.76270953025312,add(CNOT4),70.06216498670754,add(BOLL),68.94095945142645,add(A1CF),69.98010167271313,add(RBM41),69.00729823684134,add(RBM15B),67.29956414637215
drop(HNRNPK),75.38571797718888,drop(HNRNPDL),77.01946330294898,drop(RBFOX3),76.26942677890194,drop(IGF2BP2),74.88099799400054,drop(HNRNPD),74.79173353184535,drop(RBM23),76.38798105654716,add(IGF2BP2),68.70314732300791,add(HNRNPA2B1),69.19321026788006,add(PTBP3),70.1066213245031,add(RBM45),70.38122768085182,add(FUS),68.82919388252209,add(DAZAP1),68.06433049216241
drop(HNRNPF),77.38307937945821,drop(ESRP1),76.46240652181852,drop(MBNL1),75.32632559794011,drop(CPEB1),75.99444437484682,drop(ELAVL4),74.6507873225915,drop(HNRNPCL1),75.57142378851765,add(HNRNPL),69.87645917537877,add(IGF2BP1),69.25271182226939,add(IGF2BP2),70.06917204572952,add(ILF2),70.80441809517744,add(PTBP3),68.86625498301808,add(SRSF2),68.35373945368141
drop(RBM24),76.79652656312776,drop(NOVA1),77.0565607951585,drop(ELAVL4),76.64060792070717,drop(RBM24),75.46740524347688,drop(ESRP1),75.20748018658672,drop(HNRNPD),76.21729620066982,add(RBM4),70.60412802895951,add(RBM4),70.42591449949968,add(HNRNPDL),70.07671284988317,add(KHSRP),71.07155643079955,add(RBM23),69.19308896216832,add(HNRNPD),69.83917972460164
drop(RBFOX2),76.27656727420684,drop(RBFOX3),76.91533558276764,drop(RBM4),76.01689695931132,drop(KHSRP),75.63821140506597,drop(PUF60),74.50183934747938,drop(RBM47),75.26707878554544,add(PTBP3),70.45558036269614,add(EIF4G2),71.84421536730751,add(HNRNPA1),70.87862521016766,add(PCBP2),70.92308154796322,add(TRA2A),70.60386115639368,add(RBM41),69.72762037540721
drop(RBMS2),76.65545904816216,drop(RBM4B),76.63316416112292,drop(PCBP4),75.50457551911344,drop(SF1),75.51930534085669,drop(TAF15),74.7841927276917,drop(EIF4G2),75.06647332447697,add(CNOT4),71.55450314150914,add(SF1),71.90343791855985,add(DAZAP1),71.22754785664718,add(RBM4),71.87356583565344,add(RBMS3),71.13836830849021,add(ZNF326),69.48237661797559
drop(HNRNPDL),76.33619013430793,drop(RBM4),75.72741521436528,drop(PCBP1),76.29929886180835,drop(EWSR1),75.44526805386292,drop(RBM23),74.60618541794184,drop(PCBP2),75.7273545615094,add(IGF2BP1),71.1015498194177,add(PCBP2),72.49771349761156,add(FUBP3),71.35388554986952,add(IGF2BP2),71.88853826882016,add(EIF4G2),71.8510768594754,add(PTBP3),70.3216290818931
drop(A1CF),76.09097063801865,drop(RBM45),76.28444773435336,drop(EWSR1),75.16287828193707,drop(CELF1),75.13328520216767,drop(SRSF10),74.8138828520305,drop(ELAVL4),75.23709752749845,add(SF1),71.76223696731132,add(TIA1),72.4231909877708,add(ELAVL4),71.83652899629978,add(RC3H1),72.04429921381548,add(TARDBP),72.03689184594475,add(ESRP1),70.50737128493539
drop(SNRPA),75.07380790892067,drop(SRSF4),76.28458117063629,drop(RBM24),74.67314286248661,drop(SNRPA),74.48746131230018,drop(SRSF4),74.70256611425957,drop(RBM41),74.6135806552414,add(RBMS2),71.16832530539486,add(PTBP3),72.52717314109805,add(RBFOX3),71.57664033112312,add(RBM6),71.79915250095323,add(HNRNPA2B1),72.36368943338147,add(RBM24),70.80421187546746
drop(SRSF5),75.43022283726913,drop(PCBP2),76.41066412186397,drop(TRNAU1AP),75.52688253672387,drop(HNRNPC),73.93783616018283,drop(PABPN1L),74.54665960241016,drop(TIA1),75.17058891408715,add(MSI1),72.27470397436329,add(KHSRP),72.35620928208368,add(NUPL2),72.54210918255124,add(PCBP1),71.53198990418878,add(KHSRP),72.48240140845195,add(HNRNPL),71.30904103379638
drop(KHDRBS2),75.30415201661262,drop(EIF4G2),76.08402423185254,drop(IGF2BP1),75.6159771708826,drop(PABPN1L),74.28672241494883,drop(DAZAP1),74.36834902838095,drop(KHDRBS2),75.20758936172729,add(KHSRP),72.89083773989198,add(RALY),72.74992792235165,add(IGF2BP1),73.76721195716135,add(MBNL1),72.11851845937687,add(PCBP4),72.62348105398871,add(EIF4G2),72.16305971117066
drop(SRSF4),76.14346513338599,drop(PRR3),76.5515739394043,drop(SRSF4),76.20261490121128,drop(TIA1),74.7470345826263,drop(KHDRBS3),74.01959620989787,drop(RBM4),75.25203356895167,add(RBM24),73.69276223074763,add(KHDRBS2),73.09883843825997,add(RBM15B),73.8784195197917,add(SRSF11),72.53426511411824,add(DAZ3),73.2248607366318,add(RBM25),72.30400592042452
drop(HNRNPA1),75.21510590473858,drop(IGF2BP2),75.5419034921753,drop(SRSF10),76.13576663180707,drop(HNRNPF),74.47248887913346,drop(IGF2BP2),73.76707852087843,drop(MBNL1),75.27438910884678,add(HNRNPCL1),73.3065965252045,add(NUPL2),73.30675422262978,add(HNRNPA2B1),74.22018954039515,add(FUS),73.083987310805,add(MSI1),73.03927623101477,add(SRSF5),72.8387314228022
drop(RBM23),74.00439329587883,drop(HNRNPC),75.74237551696083,drop(HNRNPA2B1),74.69519513810236,drop(RBM41),73.04656229317376,drop(UNK),73.49199907225392,drop(HNRNPA0),73.6555313022552,add(RBFOX3),73.21007026203269,add(KHDRBS3),73.19530404857592,add(HNRNPA0),73.0617166849081,add(RBFOX3),72.593657493367,add(MBNL1),72.67546606536675,add(HNRNPA2B1),71.92540528017737
drop(TAF15),75.07391708406124,drop(KHSRP),75.74969797083335,drop(RBM25),75.78696529103931,drop(PCBP4),73.9969374057234,drop(ILF2),73.4920597251098,drop(RBM4B),74.90298961676041,add(NUPL2),73.90062949283272,add(DAZAP1),73.77443736646447,add(RBM25),74.57649529360305,add(SRSF4),73.603813163443,add(ELAVL4),73.78919144935006,add(RBM45),73.48465235723906
drop(EWSR1),74.56893022830707,drop(ELAVL4),75.90558022154039,drop(ESRP1),75.34140720624741,drop(HNRNPH2),73.60367972716007,drop(RBMS2),73.88574197366422,drop(ZFP36),74.17524797975263,add(SRSF8),74.13079164195706,add(FUBP3),74.70283298682541,add(DAZ3),74.24969770616634,add(RBM24),73.2989829376238,add(FUBP1),74.24224181601092,add(EWSR1),73.15807312008349
drop(HNRNPH2),74.56894235887823,drop(SF1),75.83155506511778,drop(PTBP3),74.7696327339449,drop(IGF2BP1),73.1878966807052,drop(RBFOX2),74.39064391542018,drop(PTBP3),74.42054025946895,add(PUM1),74.45743153196851,add(RBMS2),74.19036597977345,add(PCBP4),73.99736197571451,add(HNRNPH2),73.61843381004567,add(PRR3),73.88557214566778,add(PUF60),72.66038445705945
drop(FUS),74.17551485231846,drop(HNRNPA0),74.94011137011229,drop(HNRNPD),74.19043876320049,drop(HNRNPA2B1),73.44028093344173,drop(FUS),73.21742910761873,drop(TRNAU1AP),74.21273365023973,add(HNRNPA2B1),74.75447834221056,add(HNRNPC),74.14590964197788,add(TARDBP),74.15321996527922,add(HNRNPCL1),73.40331687751511,add(HNRNPC),73.30646308892159,add(HNRNPDL),73.0911278061099
drop(EIF4G2),74.84387624064865,drop(EWSR1),75.20009707985832,drop(PUM1),74.5765680770301,drop(PUF60),74.10855740777369,drop(RBM24),73.04659868488729,drop(PUM1),74.04916502852492,add(DAZAP1),74.59124937648865,add(RBM24),74.07907350314487,add(PUF60),74.8138828520305,add(ESRP1),74.49461393817626,add(RBFOX3),73.55916273650864,add(HNRNPH2),72.69008671196943
drop(RBFOX3),73.4775846453612,drop(RBM41),75.17805693481375,drop(RBM47),73.96010678607972,drop(RBM22),73.5294968733122,drop(BOLL),73.0317475574323,drop(HNRNPDL),74.06385845855465,add(CELF1),75.05159793587966,add(HNRNPK),75.14826976590557,add(SRSF9),74.77713714638503,add(HNRNPD),74.1606515942923,add(A1CF),73.70027877375892,add(SRSF11),73.45505927746964
drop(TRNAU1AP),74.35372838177827,drop(RBM15B),75.16316941564524,drop(SRSF9),74.60619754851302,drop(RC3H1),73.58150614583259,drop(DAZ3),73.28432589930762,drop(SF1),73.41062720081645,add(KHDRBS3),75.62357862789213,add(SRSF4),73.71493581207514,add(RBM45),74.98471327476194,add(RBM41),74.40587109058157,add(SNRPA),72.98713352221147,add(RBM4),73.5143667427202
drop(RBM22),73.84144333329392,drop(HNRNPH2),75.48240193778597,drop(HNRNPCL1),74.45760135996495,drop(RBM23),73.09146746210277,drop(A1CF),72.89820871604917,drop(NOVA1),73.90801259956112,add(ESRP1),74.83629904478148,add(PCBP1),74.65076306144915,add(HNRNPF),74.96266099914618,add(HNRNPF),73.70026664318776,add(NUPL2),74.28688011237408,add(TARDBP),73.4401474971588
drop(PCBP1),73.74466232812745,drop(FUS),75.79421496148477,drop(HNRNPF),73.62622935619399,drop(RBFOX2),73.0319416465711,drop(CPEB1),74.41306010817117,drop(CPEB1),72.95777092329439,add(NOVA1),75.43025922898265,add(DAZ3),74.5096227630565,add(HNRNPH2),74.4723797039929,add(MSI1),74.18294648133154,add(PUM1),74.19751860564952,add(DAZ3),73.38077937905238
drop(HNRNPC),74.22753625541002,drop(NUPL2),74.53191765009575,drop(ZFP36),73.76712704316313,drop(DAZ3),73.71522694578331,drop(NOVA1),73.01701773568905,drop(PCBP4),74.026821619201,add(HNRNPF),76.42539394360722,add(HNRNPF),75.0517677638761,add(CELF1),75.51932960199905,add(HNRNPL),75.06653397733285,add(HNRNPF),74.01199475288836,add(TRA2A),74.59105528734986
drop(CPEB1),72.6904263679623,drop(UNK),74.38333359211886,drop(DAZAP1),73.64837867637912,drop(EIF4G2),71.81440393725697,drop(SNRPA),72.50489038462997,drop(HNRNPL),73.49230233653327,add(EWSR1),75.25210635237872,add(PRR3),75.60115030456997,add(EWSR1),75.44525592329174,add(EIF4G2),73.8636290451926,add(BOLL),74.8213508727571,add(RC3H1),75.15549517520867
drop(RBM45),73.55165832406851,drop(SRSF10),74.62112145939506,drop(PUF60),73.60374038001595,drop(HNRNPDL),72.08892537960747,drop(PTBP3),72.36356812766971,drop(RBM15B),72.77200445910974,add(RBM41),75.77190794387437,add(SRSF8),75.73483471280719,add(PUM1),75.58608082683385,add(RBM15B),74.50947719620243,add(SRSF4),74.74697392977043,add(PRR3),74.42769288534502
drop(RC3H1),73.47015301634812,drop(RBMS2),74.50988963562236,drop(RBM41),73.60394659972592,drop(RBFOX3),72.89080134817844,drop(RBM6),72.31897835359125,drop(RC3H1),72.40817003231938,add(RBMS3),76.2099373550838,add(HNRNPDL),75.75691124956528,add(RBM41),75.89083826922598,add(RBM4B),75.15554369749337,add(HNRNPH2),74.85839984268193,add(RBM23),74.60594280651836
drop(SRSF10),73.03945818958239,drop(FUBP1),73.85630659132009,drop(RBM22),73.27718540400272,drop(ELAVL4),72.06656983971236,drop(HNRNPA0),71.30915020893696,drop(UNK),72.24494106659746,add(FUBP1),76.23223224212303,add(PABPN1L),75.84619997286282,add(FUBP1),76.28435068978399,add(NOVA1),74.6504597971698,add(NOVA1),74.44260466565588,add(MSI1),74.91039698463113
drop(ELAVL4),73.38867196977009,drop(ZFP36),73.61124479245606,drop(HNRNPA1),73.12101201958747,drop(UNK),72.49732531933397,drop(FUBP3),71.85871470819845,drop(FUBP1),72.97244009218176,add(HNRNPC),76.31406507526512,add(HNRNPCL1),75.94254427746701,add(HNRNPCL1),75.67533315841784,add(FUBP1),75.16274484565415,add(ESRP1),74.62821343241527,add(FUS),75.25179095752819
drop(TIA1),72.70521684256141,drop(SRSF2),73.57425647538712,drop(HNRNPC),72.75012201149042,drop(TARDBP),72.10390994334539,drop(SRSF5),71.3685547187569,drop(CELF1),72.15595560757929,add(TAF15),76.69264145436992,add(ILF2),76.39548546898729,add(CNOT4),76.5514405031214,add(SRSF9),75.05902956489273,add(KHDRBS3),75.34111607253922,add(BOLL),75.17771727882086
drop(PUF60),71.54709577363843,drop(SNRPA),73.64845145980617,drop(RBFOX2),73.54428734791132,drop(RBM47),71.65820629169939,drop(TRNAU1AP),70.64084947346262,drop(ESRP1),71.98501600970728,add(RBM15B),75.69784639573822,add(ZCRB1),77.28660163857109,add(A1CF),76.7520217030475,add(RALY),75.37831060931815,add(UNK),75.72722112522649,add(CPEB1),75.02929091826924
drop(SRSF9),72.60125895037652,drop(TAF15),72.73513744775254,drop(HNRNPK),72.46060387483085,drop(PTBP3),71.65090809896924,drop(RALY),70.50000030877818,drop(HNRNPF),71.99998844287401,add(SRSF11),76.94508635996232,add(SRSF10),75.44460087244833,add(KHDRBS2),76.93007753508205,add(SRSF8),76.12812878308404,add(SF1),74.26442752790959,add(KHDRBS3),75.54161235846712
drop(IGF2BP1),72.81661849433057,drop(FUBP3),73.41808309097188,drop(FUS),71.9851009237055,drop(KHDRBS2),71.2424232452445,drop(FUBP1),70.49270211604801,drop(FUS),71.57647050312669,add(PABPN1L),77.72465531092286,add(PCBP4),76.58120341088723,add(HNRNPK),76.09862061731285,add(KHDRBS3),75.86102683917544,add(HNRNPCL1),75.52679762272565,add(HNRNPC),75.2592953699683
drop(RBM41),71.97787551440238,drop(SRSF9),72.27470397436329,drop(PCBP2),71.59162489486104,drop(RBMS3),70.29929780314032,drop(HNRNPH2),69.54956454337267,drop(RBFOX3),70.52947208283584,add(RBM45),76.61831303366795,add(PUF60),77.03419312469222,add(RBM24),76.15786742970752,add(RBMS2),75.48972439165847,add(PCBP2),75.48949391080616,add(PABPN1L),74.3236986014466
drop(RBM47),72.05190067082499,drop(KHDRBS2),72.9207462145119,drop(HNRNPL),72.14856037027972,drop(ZFP36),70.81928135320359,drop(NUPL2),70.44786973054606,drop(TAF15),71.19040184215295,add(ELAVL4),76.61088140465486,add(RBM41),76.9748250065858,add(SF1),76.90789182318338,add(RBM47),75.2963564704643,add(RBFOX2),75.311535123341,add(SRSF9),75.9648634256486
drop(PCBP4),71.45046033532604,drop(RBM47),72.34149159091162,drop(KHDRBS3),71.69572835390001,drop(NUPL2),69.85393380748721,drop(SF1),69.90593094943642,drop(NUPL2),70.43320056165868,add(FUS),77.50938068096704,add(FUBP1),76.7073470149708,add(SNRPA),76.52190807620786,add(PUF60),75.4748126113476,add(SFPQ),75.04419056800893,add(RBFOX2),75.40796434194341
drop(SF1),71.413326451403,drop(HNRNPL),71.76962007403971,drop(CPEB1),72.34166141890806,drop(TAF15),70.14348833586031,drop(EWSR1),69.53477406877356,drop(SRSF10),71.5618134648105,add(SFPQ),77.23443466862543,add(RBM4B),76.27666431877624,add(FUS),77.4130121152205,add(RBMS3),75.23710965806964,add(RBM45),74.47979920243479,add(SRSF4),76.08352687843438
drop(ZFP36),71.50984058400363,drop(PABPN1L),72.46765945613754,drop(NOVA1),72.32682242202425,drop(PCBP2),70.21023956069511,drop(RBFOX3),70.38110637514008,drop(KHSRP),70.55929564345756,add(PCBP2),77.39799115976906,add(RBM22),76.22464291568467,add(NOVA1),77.8434885917051,add(EWSR1),75.78632237076707,add(RBM24),74.43536712578158,add(PCBP1),76.05393379866499
drop(NUPL2),71.2650213965631,drop(RBM23),71.27981187116221,drop(KHSRP),71.91105150614054,drop(RBM45),69.51971672160859,drop(RBM4),69.82442564171603,drop(MSI1),70.93061022154569,add(RBFOX2),77.61336283429428,add(RBMS3),77.8212179658082,add(MSI1),78.07360221854472,add(PRR3),75.63806583821189,add(RC3H1),76.4104215104405,add(NOVA1),75.83842868785683
drop(DAZ3),70.81189824647521,drop(SRSF11),71.88083976724124,drop(SNRPA),71.65102940468097,drop(FUBP1),68.56197063290175,drop(EIF4G2),69.99512262816457,drop(SRSF5),69.97262152141536,add(TARDBP),77.58368484052666,add(BOLL),76.98957908947139,add(RBMS2),77.96953515121925,add(PABPN1L),75.7419630775409,add(ZFP36),75.17037056380602,add(FUBP1),75.83099705884378
drop(PABPN1L),71.04212104845541,drop(RBM24),71.54699872906903,drop(HNRNPA0),70.53003008910986,drop(SRSF8),68.94080175400119,drop(RBM15B),69.09647778499829,drop(RBM24),69.34910464915829,add(HNRNPDL),77.9104702973922,add(CPEB1),77.10844876196714,add(MBNL1),77.56119586434862,add(KHDRBS2),75.72734243093824,add(SRSF9),75.72724538636884,add(IGF2BP2),75.48939686623677
drop(CELF1),69.00780772083066,drop(MSI1),70.26232161664254,drop(TAF15),71.51009532599831,drop(ESRP1),68.9481242078737,drop(ZFP36),69.48240087911793,drop(TARDBP),68.9256716234092,add(CPEB1),77.15283231633565,add(EWSR1),77.31626750176753,add(RBMS3),78.21477890865089,add(CPEB1),75.83123967026725,add(CPEB1),76.36591665036023,add(RBMS2),76.3061846151186
drop(UNK),70.0027604768876,drop(TRNAU1AP),70.64087373460498,drop(MSI1),70.38140963941943,drop(SRSF11),68.60671810440549,drop(PCBP2),69.74259280857395,drop(SRSF8),68.50250547022594,add(HNRNPK),77.30884800332562,add(HNRNPH2),77.27892739813453,add(PCBP1),77.82132714094875,add(IGF2BP1),75.9348942981728,add(HNRNPA0),75.94233805775706,add(PCBP4),75.86827650962091
drop(FUBP1),69.71309677337393,drop(A1CF),69.46060334549684,drop(DAZ3),70.48522196475024,drop(RBM4B),68.35405484853196,drop(ZNF326),68.13835564858503,drop(RBM45),69.23763021396209,add(PUF60),78.05881174394561,add(TARDBP),77.90284457924032,add(HNRNPC),78.17006782886067,add(RBFOX2),76.59603027719987,add(SRSF10),76.54381478496953,add(SRSF8),76.38781122855072
drop(DAZAP1),69.29727733520552,drop(DAZAP1),69.48275266568199,drop(RBM15B),70.27746387780572,drop(SRSF10),67.93071886735224,drop(TIA1),66.84681704399065,drop(ZNF326),68.22043109315061,add(PCBP4),77.73967626637427,add(FUS),76.98950630604435,add(ZFP36),78.19244762989813,add(PCBP4),75.94260493032287,add(RBM47),76.28390185865052,add(PCBP2),76.61066305437372
drop(TARDBP),69.01514230527434,drop(PUM1),68.95556796745797,drop(RC3H1),69.47523612267068,drop(SRSF9),66.86138916830863,drop(RBM4B),67.08415608013341,drop(SRSF4),67.53707301051134,add(KHDRBS2),77.53892523845174,add(SRSF5),77.16048229562988,add(PCBP2),77.82857681139423,add(RBM23),75.97224653237697,add(RBM4B),76.3508956949088,add(RBM4B),77.02659166768268
drop(ESRP1),68.50262677593769,drop(DAZ3),68.72529664319306,drop(TARDBP),68.62901299144472,drop(SRSF5),67.06214019623118,drop(HNRNPA2B1),66.39376667732981,drop(SFPQ),67.45561622507564,add(SRSF9),78.27403785161673,add(SNRPA),77.26405200953718,add(SRSF5),77.79151571089822,add(TARDBP),76.23955469599554,add(RALY),76.37311779852101,add(SNRPA),76.30631805140152
drop(SRSF11),68.05732343314044,drop(SFPQ),68.42848031380332,drop(RBM45),68.82953353851495,drop(SRSF4),67.15835106455246,drop(SRSF11),66.26019144423316,drop(RBM6),67.9458247368019,add(SRSF5),77.86595330674076,add(SRSF11),78.26669113660188,add(ILF2),78.20735941020898,add(ELAVL4),75.69748247860299,add(IGF2BP2),76.06114707739692,add(SFPQ),77.16027607591991
drop(HNRNPA2B1),67.71561406539286,drop(CELF1),67.58964028930575,drop(KHDRBS2),68.75513233438595,drop(RBM15B),66.35654787940854,drop(SRSF8),65.53246193779655,drop(IGF2BP1),67.2399776779846,add(SNRPA),78.65278405871796,add(RBM45),77.85093235128934,add(SRSF4),78.1553501376886,add(ZFP36),76.2025057260707,add(PCBP1),76.18017444731795,add(ELAVL4),76.99688941277273
