13x4-nsp [dropping] [1],13x4-nsp [dropping] [1] [acc],13x4-nsp [dropping] [2],13x4-nsp [dropping] [2] [acc],13x4-nsp [dropping] [3],13x4-nsp [dropping] [3] [acc],21x2 [dropping] [1],21x2 [dropping] [1] [acc],21x2 [dropping] [2],21x2 [dropping] [2] [acc],21x2 [dropping] [3],21x2 [dropping] [3] [acc],13x4-nsp [adding] [1],13x4-nsp [adding] [1] [acc],13x4-nsp [adding] [2],13x4-nsp [adding] [2] [acc],13x4-nsp [adding] [3],13x4-nsp [adding] [3] [acc],21x2 [adding] [1],21x2 [adding] [1] [acc],21x2 [adding] [2],21x2 [adding] [2] [acc],21x2 [adding] [3],21x2 [adding] [3] [acc]
drop(RBM25),78.78658977266693,drop(ILF2),77.34600614839103,drop(RBMS2),78.61590491678957,drop(RBM25),77.3309366706549,drop(RBM47),76.52908496322628,drop(RBMS2),77.07116931119,add(SRSF2),51.25371548367278,add(RBM6),49.946779875920576,add(RBM23),50.14737320641785,add(SRSF2),50.607600460097125,add(ILF2),48.52839409411453,add(HNRNPK),49.11477708244853
drop(PUM1),78.56376220798626,drop(SRSF5),78.3707824650697,drop(EIF4G2),78.57130301213992,drop(PUM1),76.6554833093045,drop(MBNL1),77.07130274747291,drop(HNRNPC),77.09348845937159,add(RBM6),53.02063573368076,add(TRA2A),53.867489654607795,add(SRSF2),52.82038205917636,add(HNRNPK),52.75331543949103,add(HNRNPD),52.360142674925925,add(HNRNPA1),51.238779442219574
drop(KHDRBS3),77.73956709123372,drop(BOLL),78.09605480300922,drop(IGF2BP2),78.14802768381608,drop(KHDRBS3),76.113204872202,drop(RBM25),77.01180119308357,drop(A1CF),77.12320284485273,add(TRA2A),56.800375041971776,add(SRSF2),56.68154176118955,add(SRSF8),56.04277345262876,add(HNRNPDL),55.05504610587493,add(HNRNPK),54.02367516959421,add(CELF1),53.830173812117124
drop(HNRNPA0),77.99954067040859,drop(HNRNPF),77.43508865197859,drop(FUBP1),77.78412047359868,drop(HNRNPA0),76.21715063381573,drop(HNRNPDL),75.71959540707462,drop(EWSR1),76.6180946833868,add(ZCRB1),58.64202402153048,add(RBM25),57.20145252782577,add(TRA2A),58.537799256779756,add(HNRNPA0),56.094649288866215,add(HNRNPA1),55.39686464876306,add(NUPL2),55.708750455888925
drop(RBM4),78.03654111804872,drop(RBMS3),77.60604038042177,drop(CELF1),77.77676162801264,drop(RBM4),76.47719699641765,drop(RC3H1),76.28418086178755,drop(ILF2),76.04674478107539,add(ZNF326),60.802675042377594,add(ZNF326),59.15421202544544,add(RBM6),60.0454858924545,add(RBM25),58.033079273591405,add(SRSF11),56.391975102245276,add(ILF2),57.62455802815316
drop(HNRNPL),77.64284673892313,drop(HNRNPCL1),77.14569182103077,drop(PABPN1L),77.52428033070672,drop(HNRNPL),76.61832516423911,drop(HNRNPC),75.5341928600252,drop(RBFOX2),76.81137769058275,add(RBM23),62.30994923863242,add(ESRP1),60.877076246506626,add(ESRP1),60.58012648083396,add(ZCRB1),59.45128309682983,add(CNOT4),58.79763939967171,add(ZCRB1),59.91161952564967
drop(PRR3),77.3905474001848,drop(MBNL1),77.61350840114838,drop(UNK),77.5614020840586,drop(PRR3),75.63069486205467,drop(RBM22),76.41770757259948,drop(BOLL),76.86332631024726,add(PCBP1),61.52288800580291,add(HNRNPD),62.34741064797718,add(ZNF326),62.636758956640314,add(ZNF326),60.854550878615065,add(SRSF2),60.56495995852844,add(TRNAU1AP),60.81755043097493
drop(PCBP2),77.15278379405095,drop(HNRNPK),77.34595762610633,drop(FUBP3),77.0861053526432,drop(HNRNPCL1),76.36569830007912,drop(HNRNPL),76.11304717477674,drop(FUBP3),76.46239439124736,add(ILF2),63.66140183703606,add(MSI1),63.57261046715668,add(EIF4G2),62.85208210888082,add(CNOT4),61.82713596420572,add(RBM22),60.98068235212746,add(CNOT4),61.7678648906687
drop(FUBP3),77.84373120312857,drop(RBFOX2),77.91792618754762,drop(RALY),77.28669868314049,drop(FUBP3),76.610820751799,drop(PUM1),76.3286371995831,drop(RALY),76.72965403258122,add(DAZ3),64.38915560461503,add(SFPQ),63.95866699755924,add(PRR3),63.921496721922665,add(TRA2A),63.54995166298221,add(DAZAP1),61.195993373796796,add(RALY),61.89399636418109
drop(RBM4B),77.41289080950875,drop(CPEB1),77.56137782291624,drop(PRR3),77.39803968205376,drop(PCBP1),76.59598175491517,drop(CNOT4),76.38065860267466,drop(PRR3),76.57382030415886,add(RBM25),64.67121785111915,add(CELF1),65.18366059702878,add(SRSF11),64.44137109684536,add(BOLL),64.75285659512247,add(CELF1),62.87407373164071,add(HNRNPA0),63.30478068897762
