,13x4-nsp [dropping] [1],13x4-nsp [dropping] [2],13x4-nsp [dropping] [3],21x2 [dropping] [1],21x2 [dropping] [2],21x2 [dropping] [3],13x4-nsp [adding] [1],13x4-nsp [adding] [2],13x4-nsp [adding] [3],21x2 [adding] [1],21x2 [adding] [2],21x2 [adding] [3]
RBM25,78,8,47,78,76,3,9,3,31,4,15,28
PUM1,77,16,43,77,70,43,33,11,42,75,39,74
KHDRBS3,76,67,26,76,50,68,37,30,10,49,46,48
HNRNPA0,75,44,21,75,34,48,66,69,30,3,59,9
RBM4,74,55,57,74,23,50,20,20,13,22,75,37
HNRNPL,73,25,27,73,71,37,19,68,66,40,66,26
PRR3,72,50,69,72,62,69,16,41,8,55,33,42
PCBP2,71,52,28,24,19,55,54,23,62,21,50,61
FUBP3,70,29,71,70,33,71,13,32,23,69,71,73
RBM4B,69,56,65,18,16,47,77,53,14,43,62,62
MBNL1,68,72,59,64,77,49,14,12,57,27,30,77
NOVA1,67,58,24,65,38,40,39,16,54,44,44,55
HNRNPCL1,66,73,40,71,67,59,29,45,45,34,49,76
MSI1,65,20,19,68,61,23,26,7,55,39,29,44
KHSRP,64,47,23,57,12,24,27,26,69,20,26,16
BOLL,63,76,61,63,42,72,15,56,17,9,41,46
RALY,62,62,70,62,30,70,76,27,74,47,63,8
IGF2BP2,61,49,76,60,49,66,18,71,19,23,64,57
HNRNPK,60,71,30,5,0,1,59,36,49,1,2,0
HNRNPF,59,75,39,49,11,30,40,40,38,38,40,11
RBM24,58,21,53,58,43,21,28,35,50,32,54,25
RBFOX2,57,70,31,39,45,73,55,66,78,60,51,52
RBMS2,56,35,78,67,46,78,25,33,56,50,67,58
HNRNPDL,55,60,11,36,75,42,57,43,20,2,74,34
A1CF,54,18,68,61,40,76,17,15,47,17,36,10
SNRPA,53,31,22,53,37,64,65,63,52,76,37,63
SRSF5,52,77,63,15,32,22,64,62,63,66,73,29
KHDRBS2,51,27,13,29,68,51,62,28,48,57,72,12
SRSF4,50,53,50,14,53,16,75,37,65,31,42,53
HNRNPA1,49,5,33,2,1,7,11,13,21,11,3,1
RBM23,48,23,0,40,55,60,5,10,0,62,20,43
TAF15,47,30,20,25,56,27,46,73,76,67,78,71
EWSR1,46,43,54,55,25,75,41,58,41,54,69,32
HNRNPH2,45,40,67,46,28,67,67,59,39,33,43,35
FUS,44,39,29,9,44,29,52,61,53,29,18,45
EIF4G2,43,51,77,37,22,56,10,21,7,41,23,27
RBFOX3,42,57,60,35,24,28,30,75,25,30,35,68
TRNAU1AP,41,19,52,12,31,44,74,76,77,77,77,6
RBM22,40,61,34,42,72,61,73,54,73,74,7,78
PCBP1,39,68,55,69,63,62,6,38,59,26,65,54
HNRNPC,38,48,32,52,73,77,45,34,60,71,34,49
CPEB1,37,69,25,59,39,39,58,57,70,58,58,47
RBM45,36,54,14,23,65,18,50,65,37,18,53,31
RC3H1,35,12,16,41,74,35,71,67,68,24,55,41
SRSF10,34,36,49,17,54,25,69,48,67,73,60,67
ELAVL4,33,46,58,34,59,54,51,14,24,64,31,65
TIA1,32,9,7,50,17,52,70,24,71,14,76,72
PUF60,31,63,36,43,57,63,60,50,35,52,70,33
SRSF9,30,28,41,16,6,12,63,70,36,46,57,51
IGF2BP1,29,10,51,45,10,13,23,19,27,59,10,15
RBM41,28,42,35,48,64,53,42,51,43,37,17,21
RBM47,27,26,42,31,78,57,78,72,75,51,61,70
PCBP4,26,65,56,47,66,38,61,49,33,61,27,59
SF1,25,45,66,56,26,41,24,22,51,70,48,14
ZFP36,24,33,38,27,20,46,68,77,61,65,56,75
NUPL2,23,38,62,26,27,26,31,29,26,13,38,3
DAZ3,22,15,18,38,41,10,8,39,32,78,28,39
PABPN1L,21,24,73,51,52,9,49,44,15,56,68,50
CELF1,20,13,74,54,7,32,36,9,40,15,9,2
UNK,19,37,72,33,48,34,72,74,72,72,47,69
FUBP1,18,34,75,22,29,33,44,52,44,45,32,56
DAZAP1,17,17,37,4,51,2,35,31,22,12,8,18
TARDBP,16,11,15,32,9,20,56,60,34,63,24,38
ESRP1,15,59,46,20,58,31,38,5,5,35,45,24
SRSF11,14,22,9,19,14,11,48,64,9,28,4,36
HNRNPA2B1,13,6,48,44,15,5,34,18,29,10,25,30
SFPQ,12,14,64,11,8,15,53,8,12,68,52,64
CNOT4,11,7,6,10,69,8,22,17,46,7,5,7
PTBP3,10,64,45,30,36,45,21,25,18,16,19,23
HNRNPD,9,66,44,66,60,58,12,6,11,36,1,20
ZNF326,8,4,4,7,18,17,4,4,6,6,16,22
RBMS3,7,74,12,28,4,65,43,55,58,53,22,66
SRSF8,6,2,10,21,13,19,32,42,2,48,13,60
RBM15B,5,41,17,13,21,36,47,78,28,42,11,17
ILF2,4,78,5,8,47,74,7,46,64,19,0,4
TRA2A,3,1,1,3,5,6,2,1,3,8,21,40
ZCRB1,2,3,2,1,2,4,3,47,16,5,14,5
SRSF2,1,32,3,0,3,0,0,2,1,0,6,19
RBM6,0,0,8,6,35,14,1,0,4,25,12,13
