,FM_1,AM_1,AM_2,AM_3,AM_4,AM_5
FM_1,1.0,0.7321050248070918,0.7620366472181156,0.7188366234948942,0.7768743008284957,0.7545022931308488
AM_1,0.7321050248070918,1.0,0.6222568000836117,0.6187953988369131,0.708490693087714,0.6779635102598605
AM_2,0.7620366472181156,0.6222568000836117,1.0,0.6310036672480448,0.7190624454462833,0.6514848695946502
AM_3,0.7188366234948942,0.6187953988369131,0.6310036672480448,1.0,0.7451841303413176,0.6440946309388109
AM_4,0.7768743008284957,0.708490693087714,0.7190624454462833,0.7451841303413176,1.0,0.6995204594133914
AM_5,0.7545022931308488,0.6779635102598605,0.6514848695946502,0.6440946309388109,0.6995204594133914,1.0
