,,EIF4G2,EWSR1,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,IGF2BP1,IGF2BP2,KHSRP,PCBP1,PUM1,RBFOX2,RBM22,TAF15,TARDBP,TIA1,TRA2A
AM/sai_2,exons,0.18608064933943536,,-0.011190233977619535,0.1373082942097028,,0.23794871794871786,,0.19699386886886883,-0.11589008363201903,0.02807292997894395,,-0.1877637130801687,-0.017467248908296873,,0.032279986408426664,0.029507267292032013,-0.0024539877300613355,0.24099099099099108
AM/sai_3,all,0.13930653293922757,0.2572519717725197,0.01323582722204697,0.009906472545868406,0.06851481851481833,0.049917525866203905,0.07048732248784839,-0.16580972334345634,0.11111111111111116,0.11557740892045665,,-0.15380740415086736,-0.09697309417040356,0.0,-0.04060829230151508,-0.0184795403989787,-0.027945501035112397,0.2327381483399662
AM/sai_3,introns,0.14877123005661352,0.2634615384615384,0.04107060275994012,0.014218247704981923,0.0781481481481483,0.04392617650005204,0.06303766496245089,-0.10017783046828688,0.5,0.11238502839798081,,0.06378986866791747,-0.11375608588075681,,-0.041778988904516035,-0.025796079579164632,-0.026786553725433482,0.23050003056421553
AM/sai_3,exons,-0.0383764653837646,-0.033068783068783025,0.04597701149425282,0.13482376756370562,-0.41666666666666674,0.09268090400165852,0.34332126925343,0.22880690737833564,0.0,0.15771468471824868,,-0.16598360655737698,0.03409090909090895,,-0.19361888111888115,-0.03216469481529716,-0.019548872180451093,0.07905355394790248
AM/sai_5,all,0.2636000897146493,0.22497571916333747,-0.0516602590334847,-0.0012416097231818801,-0.0012977975788520668,0.048127235564639825,-0.060079289871437735,-0.14929288190200884,2.195921985815603,0.05843857241391848,,-0.17502543752543764,-0.021475510195568148,0.0,-0.1867724867724867,-0.06073555432942024,0.0004878320916750223,0.1668517110242662
AM/sai_5,introns,0.12285714285714278,0.23750321750321746,-0.00889528070736123,0.005303162985713206,-0.00020757921886638275,0.06309810329795407,-0.07975639046148553,-0.053339729532163704,2.5316977304424997,0.058093829276659736,,-0.15115721654426573,-0.026356523311434787,,-0.15167548500881833,-0.025381723893959207,0.0014409801885346685,0.1702923660374407
AM/sai_5,exons,0.30080704328686725,-0.04415954415954415,0.0044672184995402375,0.11188540456833129,0.02585034013605436,0.11721144024514829,0.5077367443779655,0.06672447013487459,0.5027027027027025,0.07144510287034045,,-0.18100890207715137,0.0826446280991735,,-0.6111111111111112,-0.05399863294600149,0.0021014251483277846,-0.0089363241678726
AM/sai_7,all,0.22961388543667405,0.2127844241144734,-0.0646496481753066,0.010357403101922458,,0.28140602011097005,0.06892096266574854,-0.1568920741505968,-0.3580905023951858,-0.025447691313745247,,0.16666666666666674,-0.04413368573290466,0.0,0.01883569081090486,-0.2894625476089717,-0.01370624869096615,0.15641603141603122
AM/sai_7,introns,0.2475962727797476,0.22248987854251023,-0.03405655222657311,0.016984193469359532,,0.28917611139780597,0.06188154162133075,-0.07760130562853274,-0.31890143171806173,-0.02524710879313896,,1.333333333333333,-0.03944264518541507,,-0.003868293806124856,-0.6000000000000001,-0.00851513576254459,0.1362049482574046
AM/sai_7,exons,0.027926592955659357,-0.20467836257309946,0.0862327188940093,0.11867612293144214,,0.2517985611510791,0.28534313638854036,0.12786651355395495,-0.16556417274939172,-0.012136453094248711,,,-0.011284046692606964,,-0.23584905660377375,1.0952380952380953,-0.01876690452233465,-0.007075341329942919
NFM_1,all,-0.541062963190705,0.3920857247184171,0.7077618908666472,-0.6605768190964576,0.7525939060353393,0.5423605146399935,0.022692554743753535,-0.03678929765886274,-0.11970189980017987,-0.0855618611175516,0.04536489151873768,-0.008741393981589018,0.04790444534902871,0.06761779257774592,-0.0648057661319501,-0.3219384280700457,-0.04371948998178532,-0.3461856474258971
NFM_1,introns,-0.6284364261168385,0.4251303935514459,0.7766667407100947,-0.6803023022305439,0.7807115742605344,0.6010800386617854,0.014054048506122241,-0.08277070063694258,0.01442283887305229,-0.09472569358161465,0.10294117647058831,0.37405200433369457,0.030304846766992632,0.08613485890595851,-0.06330726132335074,-0.3827868393620899,-0.049665491217084634,-0.2096499568803485
NFM_1,exons,-0.43793911007025754,-0.007462686567164312,0.12563443519000517,-0.484280198565913,0.5953846153846154,0.5268975681650698,0.20171812950806411,0.3382633881801933,0.04785008457224249,0.014062341354452279,0.06982872200263524,-0.1545470787922102,0.0122300540625091,-0.07785087719298245,-0.06269420144366367,-0.04686346863468627,-0.09945934705760018,-0.31836642599277987
NFM_2,all,-0.28877028545520433,0.16825156518585094,0.5559691315227298,-0.5778525685157604,0.7157490894204832,0.8763880305416558,-0.013719587673414413,0.09087814840027231,-0.06178471960090193,-0.04276730990095634,-0.03597062948601604,-0.01985951215645876,0.03145044273033082,0.05107790514153532,0.1053267222904517,0.4441639858120927,-0.17772380003579746,0.0375271793856522
NFM_2,introns,-0.30021833887529226,0.20065054341271016,0.6195075437798994,-0.5947180283084126,0.7677296107584111,0.9277506493506491,-0.021979125663931454,0.17068741358317685,0.0665870409077336,-0.05117512370302557,0.014391917651543906,0.046122364150853024,0.03605929438880784,0.07386534451247173,0.12515665717496138,0.5671699157493388,-0.19728725982644113,0.033265152621981375
NFM_2,exons,-0.4217234550347839,-0.0832825265211562,0.06211180124223592,-0.4576371780515117,0.182852564102564,1.0401757689893287,0.2275594371664238,0.16166696604993724,0.019959758551307827,0.13745196571090723,0.2734157034675171,-0.10515463917525802,0.07553386211104307,-0.07785087719298245,0.005730659025787954,0.3102766798418972,-0.11460674157303374,-0.1553887034977136
NFM_3,all,-0.2751271587859536,0.5605988113567357,0.7918213851023024,-0.5877253919658595,0.5292098934323324,1.074525987784693,-0.039245868145354135,-0.060841995035680996,0.5772524690858161,-0.08449208684270659,0.1538847453092076,-0.15747723092330657,0.029076709374354248,0.14041686256072716,0.12073958369897153,0.18299285761166573,-0.019367648007239446,-0.21024258760107817
NFM_3,introns,-0.3132757442857017,0.6312094423779853,0.8988568646091772,-0.6091963940449059,0.5575370934222612,1.1794339213565377,-0.04569435650414144,-0.04781038482695943,0.9877197409370002,-0.09512279009000069,0.25143274853801145,-0.13988554526748975,0.0030482645244900297,0.1749652966383004,0.1424240170166433,0.25101469863450565,-0.017831212537792074,-0.20109263276291478
NFM_3,exons,-0.288305329920997,0.03923076923076918,0.16660785588262605,-0.3897993897993899,0.23869731800766303,1.0826446280991737,0.13330996046761867,0.006236008954269234,0.2072463768115942,0.0070966600483595155,0.19060283687943258,-0.3176470588235296,-0.05381944444444453,0.059941520467836185,0.17914566017168565,0.22946428571428568,-0.11662769083168445,-0.1430604982206405
NFM_4,all,-0.31288677241941965,0.13891862955032108,0.3118297906476202,-0.6085213020066083,0.4155079839653395,0.6824986662975205,0.03965009389458207,0.025576049239392384,0.6427271048659933,0.0605995217508295,0.03162737205290389,0.004932504189712583,-0.017083827987790512,0.15593705293276128,-0.04252128197497074,0.21599155264990677,0.008144144964891797,-0.11231102540294757
NFM_4,introns,-0.34402649518928596,0.18492935997603088,0.31397300319832366,-0.6259895888699631,0.45149121495924516,0.7479335820349644,0.04181522095782797,0.09612970711297053,1.5204555397186046,0.06056165201874131,0.028479661045905713,0.3349441256418002,-0.01370570705258245,0.2093881409985041,-0.03440585571502042,0.30591393958193325,-0.010927702222460312,-0.09198067632850249
NFM_4,exons,-0.21400608960417566,-0.24121500893388925,0.07272127014616281,-0.5032354060694142,-0.07848932676518883,0.8296089385474859,0.01377410468319562,0.08090337335620346,0.20577977080219223,0.1806641261155626,0.350959488272921,-0.26854182087342704,-0.049220517978375566,-0.033333333333333326,0.06427402516788039,0.055238505437708696,-0.1383649983212346,-0.017754010695187117
AM-E_1,all,0.4028437499999997,2.3092346616065775,0.5921682730193372,0.12597602598371194,0.42682229705359065,0.6366592756836658,0.14447896956967043,0.13176605504587147,3.0858833474218086,0.11389812865385096,-0.1059670781893004,-0.03842236075459393,-0.04342862256177826,-0.07138041002277917,0.6000689275610016,0.8764416066457512,-0.016853932584269704,0.3965600742604227
AM-E_1,introns,0.4532917532917531,2.5481526347668075,0.6562098434356916,0.15493991856993916,0.45037852360175323,0.9137874570165385,0.1449350918567336,0.11044176706827313,9.419294990723563,0.10551403997072684,-0.020953378732320505,-0.07968613775065392,-0.03985533251987805,-0.05464058801544791,0.6775103588116018,1.1357743691241957,0.0,0.38158804319324946
AM-E_1,exons,1.2789915966386554,0.6666666666666667,-0.0730907747714471,-0.021026446713799385,0.1578947368421053,-0.03171131765992352,0.24668236301369872,-0.041538461538461524,-0.1707317073170731,-0.029962546816479474,0.849462365591398,0.17845117845117842,-0.09379844961240302,0.9732142857142858,0.052382361645457065,0.006628003314001374,6.000000000000002,0.23957497995188426
AM-E_2,all,0.3643115597029136,1.0937139085959413,0.5849355972740502,0.16844393708889305,0.030671114599686078,0.822724287942215,0.10175932441942281,0.10715861089305068,1.5441663175534148,0.1865909161035515,0.08403361344537807,0.23630283956798492,0.05648446937135021,0.1127589112710603,0.32007122244735076,0.15354372440375808,1.0895052001260632,0.47854093326342584
AM-E_2,introns,0.48506095131862015,1.168590668590669,0.6669587493454587,0.19690614610157176,0.025533512235639932,1.0792658329971765,0.09066183696222163,0.17424775028121475,2.8362934362934373,0.18576024856018036,0.0625,0.37564300411522633,0.05009345606053728,0.13046133946536353,0.3595454545454546,0.15757821541261552,1.3018924731182797,0.43690476190476213
AM-E_2,exons,0.6636015325670499,0.6764705882352942,-0.041457286432160734,0.03581267217630857,-0.09285714285714275,0.44628099173553726,0.5262430939226519,0.0005264543300866897,0.6065688329839272,0.10655232480235832,0.19999999999999996,-0.06301369863013706,-0.038582410675433665,0.7004608294930876,-0.07713593912141115,0.09090909090909083,0.0,0.21693811074918568
AM-E_3,all,0.35149560769487365,1.6266270661157027,0.42732716286032435,0.16109016920111374,0.05758144150446154,0.7887326094592326,0.19868354250210785,0.0714552488939113,1.5929025832155252,0.13324441966208633,0.2863606981254039,0.23630037530158177,0.0021324846122610097,-0.14749514563106803,0.425772984779196,0.2405575428641915,0.13965077470400522,0.46110723887284655
AM-E_3,introns,0.41453936348408726,1.7982517482517482,0.46971399240001777,0.18098753362232944,0.05123209979340637,0.9779982743744609,0.2110671238218631,-0.10368663594470051,4.183687057844362,0.13419178810509136,0.45564516129032273,0.4095750317931326,0.003616862827063194,-0.13706659134241928,0.5411584870068626,0.26378494799547436,0.15094254872971113,0.4157728706624604
AM-E_3,exons,0.07048984468339325,0.2666666666666666,0.0304347826086957,0.07650273224043747,-0.04236111111111118,0.2181372549019609,0.17444024589701645,0.17972972972972956,0.2857142857142856,0.08063075443177148,0.21739130434782616,-0.22229451312079795,0.0370817731610098,1.2999999999999998,0.3888888888888893,-0.09842696629213477,0.1586266840504129,-0.026086956521739202
