,A1CF,BOLL,CELF1,CNOT4,CPEB1,DAZ3,DAZAP1,EIF4G2,ELAVL4,ESRP1,EWSR1,FUBP1,FUBP3,FUS,HNRNPA0,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPCL1,HNRNPD,HNRNPDL,HNRNPF,HNRNPH2,HNRNPK,HNRNPL,IGF2BP1,IGF2BP2,ILF2,KHDRBS2,KHDRBS3,KHSRP,MBNL1,MSI1,NOVA1,NUPL2,PABPN1L,PCBP1,PCBP2,PCBP4,PRR3,PTBP3,PUF60,PUM1,RALY,RBFOX2,RBFOX3,RBM15B,RBM22,RBM23,RBM24,RBM25,RBM4,RBM41,RBM45,RBM47,RBM4B,RBM6,RBMS2,RBMS3,RC3H1,SF1,SFPQ,SNRPA,SRSF10,SRSF11,SRSF2,SRSF4,SRSF5,SRSF8,SRSF9,TAF15,TARDBP,TIA1,TRA2A,TRNAU1AP,UNK,ZCRB1,ZFP36,ZNF326
A1CF,-1.0,-0.09222773462429648,0.008699791417204502,-0.009755457771577082,-0.0356642036187753,0.054604437262215026,-0.029846975293441914,-0.07456268433331334,0.08659125835807328,-0.02664453573547595,0.05501570396031797,0.06662443090715109,-0.005283184868071362,-0.007699118132487934,0.10881786112918246,0.028714102681143355,-0.004277043831532887,-0.02059249807119818,0.09306903287939779,0.11799303472548636,-0.07348600943476316,0.02462056232094129,0.09392491799328548,0.002734461807784295,0.005107774251973931,-0.023066997882769065,0.1501844157870322,-0.012201306874076735,-0.03481099108515624,0.014146747298569263,-0.07476848642357962,-0.06428123478599193,0.13012754858741915,0.05771629559596552,0.08032904900086346,0.04051250359659364,0.22177063163560543,-0.022507186003740912,-0.03320219546416376,0.06670091426192684,0.016625563721188435,0.04452137440735451,0.03402749936977989,0.016292423649007792,0.07782727860255273,0.1354579464828172,0.16191003123689107,-0.1225455594072799,0.013786585093041521,-0.02718899978922618,0.028688614124038652,0.02590658780831677,-0.08571796388343812,-0.0011823244406321482,0.10913174346146663,-0.07340566799674116,0.06881516317599874,0.0508983823707025,-0.010217766488163072,0.023997063684691983,0.012164060584352945,0.050060140681867225,-0.07258301360085179,-0.040214289490899606,-0.01950485272064545,-0.008825888323528215,0.11245242098838565,-0.024831206832196237,0.035410295833604014,0.030181288802022654,-0.0193536991755652,0.00038879306087795135,0.0031684917347757986,-0.02003769422940326,-0.016113693337296557,-0.06725168953514332,-0.039943130049557636,0.186068002962011,0.015810271459335442
BOLL,0.053220320535999475,-1.0,0.16516238895111773,-0.0660092721052863,-0.013515063520292664,0.10504356160559984,-0.01322373211171271,-0.0954669528013202,0.09130797332541858,-0.03253540921455533,0.07110968678424698,0.025063056164940603,0.09554324049779654,0.0292309197908752,0.10363289967185463,-0.004013023619444975,0.0131646311824963,0.07300455434065854,0.10091376417532184,0.06790429166862756,-0.0457194941890071,0.028274409129049338,0.035763167350960794,-0.008623888870602284,0.004797405430275055,0.041118311693475136,-0.08106735305539288,-0.040890346773279844,-0.04060311170770575,-0.007061252161503479,-0.06774416500682225,-0.06059709105046046,-0.0070875895766468675,0.006384730281790986,0.09838417242511895,0.005103605864571419,0.062183714345926185,-0.033516430604734436,-0.07680146317870024,0.018119863125485077,-0.007959221073499525,0.021153642447621364,0.07466392108416628,0.1280562783083964,0.08692673614016533,0.03502015255828512,0.1505370686461655,-0.3460433446796797,0.07912907191742906,0.033974863427905955,0.055661333340748506,-0.008498763828331046,-0.09885929084612544,0.02569646138382507,0.001789468162196416,-0.0703781967198746,0.03893869627573847,0.06405967638290935,-0.07291229022049871,-0.0354871870005549,0.08646310470756086,0.013973443595222486,-0.04848000301937925,-0.023559162004746885,0.01823454740838403,0.06930987517039872,0.0449089731226917,-0.12353189622758931,0.0735619467776646,-0.03789585568310599,0.028275566280048972,0.05060623365966616,0.015751863897268507,0.012586022735925202,0.009900827030396327,0.05266927007796274,-0.06908201067314941,0.13354365975398794,-0.014327764099190983
CELF1,0.20984740227647874,0.19957659114065926,-1.0,-0.1287039921541456,0.2921469464912583,0.16735280499940344,0.16457429250286434,-0.017126103107167296,0.22129956712199556,-0.07006041659353145,-0.11287931478388828,0.15113082462233832,0.40201101449755217,-0.08748827893545681,0.18570123481559728,-0.038433871464368594,-0.10333244926305878,0.15447485543906525,0.15096934839625925,0.3138146020185556,0.13905888513013176,-0.12248118000066144,-0.0602004804632867,-0.13188236277433346,0.11136355671287966,-0.1043631511378544,-0.13514265473322776,-0.037582983624385426,0.16066955102618588,0.3737656289871459,0.025505485350709428,-0.10363673967526096,0.1299627313286799,-0.009464860155907764,0.1871554245586606,0.11268532101717654,-0.09171602880772824,-0.16425136309229496,-0.13335229391423906,0.006120486000368122,0.1316403849905221,0.12272348755482228,0.114103560120035,0.1884441664038775,0.07231890540477118,0.04455429305350788,0.3060765229911356,-0.08089923934281788,-0.08715831366354965,0.07949055972483941,-0.11960390297782605,-0.08918893388474484,-0.07638240193297655,0.06514966460392012,0.4452891238748761,-0.0726182089329095,-0.10559794758509854,0.2822736581541248,0.1445314623779966,0.19701530183142366,0.1836698004290359,0.035615604082842624,-0.03906694561451709,-0.08066878700228143,-0.033323598897307065,-0.027473236627763232,-0.11587025210535122,-0.18601335970171196,0.02584031554905438,-0.1569156525316936,0.011790880189651937,0.026811028631052676,0.1763111536319378,0.033323493978318984,0.2128294412343699,0.3916987207603659,0.04111595744389141,0.2773759669097214,-0.043873942527975295
CNOT4,0.20106638113438427,0.0594623845799496,0.07547070246709217,-1.0,0.09594620277268469,0.02137712036021856,0.10372902766218942,-0.08300680055423057,0.1119389982436681,-0.08200094994441386,0.05528393663594129,0.06738927447737642,0.1607627595296261,-0.008654289954330723,0.18358835048739314,-0.006783112806990493,-0.011865095782831762,0.1193490170849023,0.15619888061891765,0.16560353301073014,-0.02517731660648833,0.010276314770462099,-0.04072368212805704,-0.08111734495992134,0.06637604517894463,-0.01828397437615298,0.05394529198663412,-0.017902565519041378,0.1048720195166308,0.07229999593020238,-0.0754111417963044,0.04017307300678177,0.17245601256460397,0.09194181527471872,0.15520333990089932,0.03201653780416248,0.011832770075065377,0.10635001064643347,8.42103350846638e-06,0.13525147181879948,0.10292496029463073,0.06189805885646554,0.08099949467977244,0.09414166349164359,0.08979116849279743,0.023402091475399695,0.17830270674776005,-0.2652132572899297,0.1509940198063865,0.021435641997207707,0.010371592956533653,0.028321068949914232,-0.06151208445022758,0.09627654467046312,0.31780907950841675,-0.08904240418980029,0.023597889924085156,0.22651819654094088,0.11507835692923575,0.11754157062185606,0.07399697081166252,-0.0006017654092185605,0.015412221693494614,-0.011925559274263033,0.037885113160710936,0.02778222951223236,-0.02908525485403119,-0.09564300499492898,0.09898238549993382,-0.07602926797777002,0.08019097352732507,0.029025970057943464,0.03809154254081277,0.0566605430778468,0.0742367459617122,0.256216778170579,-0.10886435653310063,0.0653101255828115,0.0018760903432118597
CPEB1,-0.08000070815276389,-0.002942002416655491,-0.07823323111934567,0.1279549405813619,-1.0,0.03658586130174829,-0.007568067153142987,-0.034378424082624245,-0.01856298654904005,-0.0473028192940085,0.07312536641047429,-0.02800849896918394,0.08315484798058005,0.03992047800909378,4.131742466771482e-05,-0.03361323333753418,0.02229057380653242,0.037879709001698764,0.16270708084971616,-0.08417402703013374,-0.1402667144624178,0.05735616465265987,0.13603835521811938,-0.050919218751375846,-0.027576205261605997,-0.016981913824532017,-0.07643958183746606,0.03651188109896336,0.005535350516005915,-0.05986077298182267,-0.060979808439113596,-0.1237501969524262,-0.14222664613406064,0.01737551189976412,0.09817575668505574,0.033891188984652446,-0.3373942994630812,0.037157607012530215,-0.056786566826180246,-0.031139322290728907,0.032275971211535304,-0.06480776857426787,-0.1882376242798495,0.005533498047246162,0.15173066299227567,0.016502377092886565,-0.022512539418737522,-0.1852483262165069,-0.016801615682781514,-0.021687478570822812,0.05274437584234643,0.016993960213299245,0.014157649391196441,0.04283698629998212,0.10824375563263382,0.02399547320795575,0.0013167785914790686,-0.09503401965470284,-0.017173936538532185,0.009010470962043746,-0.06889167225270322,-0.06848472453786067,-0.07258316760658202,0.015460117137807906,-0.019508275860823734,0.05526882974284432,0.0694917555472948,0.21158817156308332,0.10698741821370665,-0.04827357445405265,-0.006559802727635079,0.043007480757434144,-0.02299999907507478,-0.005271954701573987,-0.051541607159939204,0.03345006269573314,-0.08776800795328837,0.13111394075951904,-0.026589748406284083
DAZ3,-0.07481218080447292,0.10076939012147786,-0.06017044031418434,0.11839520189852357,-0.04391774415515425,-1.0,-0.1558142596666972,0.01680850663441485,0.04958135717158404,-0.02736710304886793,0.12795184500073706,-0.00748904941065305,0.024467019067477273,0.07698315628568667,-0.07783827135876764,0.011901632248099503,-0.042044619135812575,-0.07161529701576891,0.11367724145674912,-0.0414345921485877,-0.11154677044587326,0.021423022557832898,0.036400344530171,0.029700074242588418,-0.07918506681434716,-0.02435532851348934,-0.142246024606357,0.0025013652684196114,-0.08292846570858443,0.03514954233145133,-0.08822253665495086,-0.09142942671588163,-0.2010624259388465,-0.07575523902382564,0.01508467169389924,-0.058418406598488314,0.14302144043048062,0.10869921999557619,-0.027411394775302435,-0.05020574425908785,-0.02728427648396747,0.06453010555759088,-0.18089261999384654,-0.04618282112802714,-0.005602290213338561,-0.03569842526584733,-0.014579469392590213,-0.07440839737687496,0.08482378090199286,0.015552066718161867,0.17121355311263448,0.09069824308582777,0.033373172993021526,0.06884565602149847,-0.03716090378291222,0.17507922900732886,0.09905421929943496,-0.0951173817975151,-0.118285311777054,-0.06595404995872414,-0.07383880226920657,-0.07073435636864969,-0.05957979157288426,0.05611627302290286,0.02778910963136225,0.03584234736533998,0.1165438302111109,0.07780739803698795,0.08824966185724924,0.008863598983167567,0.007377603174088077,0.014112483002378296,-0.1046725646736987,-0.042947400258987016,-0.049286179659853616,-0.1396563955878171,-0.10925516521163313,0.03622877658870065,0.037000081684357936
DAZAP1,-0.06750423981284738,-0.024527633714170587,-0.12752807869100988,0.17071899304866575,-0.0030845235871491635,0.0025982326141133815,-1.0,-0.019224231782734583,0.03435092959380241,-0.017568812578303526,0.0670360284370542,-0.03649254866211105,0.0155232773420091,0.045867630252612326,-0.06347624295457334,0.046463184169925245,0.0502862504922183,0.028471553935957475,0.17187549115250894,-0.056090157932677846,-0.021016280131592274,-0.035041329671430956,0.12263815753471352,0.006313426761996267,-0.08960361599120056,-0.023000814786008798,-0.14662649251137969,0.012030546568957834,0.06756542828925859,-0.015176313273406713,-0.10368480619122455,-0.10347738162199661,-0.15935491428763676,-0.12607678621834892,0.09290679963502294,0.04703099637761284,-0.06527495184163036,0.09339802769975056,0.001315308883434251,-0.08124176995600248,-0.008372876952337136,-0.08848785963485178,-0.19866811706321152,0.06539358391544538,-0.011699736798853656,0.00696155658031399,-0.028406084887243638,-0.27905361888417685,0.03552212563792988,-0.004484227746407225,0.046526717144187026,0.02378741310283322,0.026741464671078158,0.13065295453528847,-0.02021634559257347,0.08687596683105174,0.057092078953623074,0.0012901470056240494,-0.06076062959032274,0.027797523508946768,-0.05411818730563796,-0.051625099102626484,0.0328836534690012,0.07522396865547423,0.025884709553068708,0.009603182384269536,0.08672718141306748,0.1699753336657164,0.11165405251595581,-0.03959641712891555,-0.004145798328413962,-0.02265669546832387,-0.060378233383991106,-0.023117629114242925,-0.0460280995645442,0.033377806585586964,-0.07018585394876144,0.04250782937950445,0.017347944847772585
EIF4G2,-0.07509131983171166,-0.0693885505478535,-0.06328672075125723,0.195542956017749,-0.07771642115969041,-0.03589701948272942,-0.08372178026452097,-1.0,-0.025075636088574032,0.010781953150696093,0.19173278252546763,0.041159579187382875,-0.054729428756952817,0.07893712307500833,-0.05034092344890327,-0.031337908709103066,0.017668011043964687,0.07132033851788608,0.17364404528644958,-0.12364283665958453,-0.19008113002600552,0.04572133766113744,0.12267040280075771,0.06358681852443444,-0.11005767060175244,-0.019742013386957566,-0.08108517629718706,-0.03689820355779809,-0.1599559120659051,0.08922475298986247,-0.15430515332411782,-0.11593915106883798,-0.11992767188667713,0.0029242102168575094,0.08084699907198807,-0.12490048797875211,0.351648291584804,0.13058687195321653,0.01244507071686248,-0.06277323670982475,-0.06058784626098109,-0.08042941619777581,-0.1899643346850747,0.03928026242024184,-0.03619563027009724,0.025574721244692265,-0.10301412899739117,-0.16555598640078198,0.06855586725042122,-0.035876811041314544,0.14365629075620115,0.12834343419517646,-0.048388387678156085,0.08257624840091378,-0.0327286586266584,0.037055478190813854,0.09301367312011538,-0.06701956264718971,-0.048686698277993136,-0.07061640438726041,-0.11464967868283221,0.012903590296824892,-0.060164677962372376,0.09017486325203813,-0.011877874587066418,0.020997025617416325,0.1720001541864351,0.05015470586334809,0.14289359232298182,0.07597713260852862,0.09671421446592846,0.034320241023570064,-0.1206286261369183,-0.007610843399147671,-0.08538434226808136,0.08935762675828567,-0.14355370955230076,0.1807413242443624,0.09300016079275888
ELAVL4,0.21133750829563727,0.12388614982249996,0.1560050693480283,-0.09066081699590335,0.013261800465553251,0.1726260592346682,0.34706945552049384,-0.1271534218327107,-1.0,-0.16644081373984637,-0.07825618102664965,0.12315586333078733,0.12465911545835551,-0.04982510542832643,0.16908321875891685,-0.04568148256224422,-0.03424987944357224,0.021619602778687522,0.07180031988053014,0.1228016593469833,0.07390204619411977,-0.06871531553965508,-0.10550116892088661,-0.13769833208669252,0.13034025297696897,-0.0566052428137855,0.13587505220029836,-0.051018367519742,0.15558506155822763,0.1118506423198836,-0.03664756327735258,-0.18620582620704187,0.3502584628983702,0.06309396888143182,0.08060664621434138,0.00671971968997243,-0.015407992845462208,-0.11190723840945872,0.012934085009228404,0.11110180362925971,0.1755758021052109,-0.09987260453423268,0.07442611454220904,-0.00321162096941057,0.13717809646813034,0.08962048385855184,0.2086025875717601,-0.00934665079708776,0.04142508668586145,0.1444324139661351,-0.07423104087846259,-0.1730891164174171,-0.16257820899018854,-0.006724310763589344,0.19490468615947398,-0.046510622086283857,-0.07723826297008068,0.21241797968549,0.2629857783332878,0.2821698934255036,0.0819905252382072,-0.08062797076423506,0.017240478921265266,-0.04918410801114978,-0.02742110537396417,-0.03884429710052479,0.03182095097756189,-0.06724078831180548,0.10222965721601848,-0.12534655252291943,-0.012632065424572465,-0.04181930775441609,0.13038492528118745,0.0444557089590059,0.2021760926793562,0.16160297727460043,0.05870413831828724,0.10481414640190317,-0.14512010838881503
ESRP1,-0.040035243200360726,-0.06897379386811069,-0.07972725801199765,0.10341159582520204,-0.10331025679794967,-0.03708208291396785,-0.06720631862449546,0.026117741956607706,0.04563182686915471,-1.0,0.1406685466859224,-0.0028635343897318744,0.0012406106009237295,0.013772717810510336,-0.08094566403346973,0.11138326151243129,-0.01790499391862603,-0.03398566977802193,0.059553649905468575,0.05405999793891218,-0.12746835994527145,0.04042833569755549,0.13324667073085736,0.04389209931786966,-0.022569841916824557,-0.024123357864741953,-0.04482725533750167,0.02721759928577999,-0.15548525872561256,0.020386373999928216,-0.11070345082158592,-0.05243532495117235,-0.13472247480669503,-0.004697440659365199,0.08547681979795556,-0.032901589171293606,0.09170102951354328,0.01523715281904194,-0.013317297133783199,-0.14242190448067665,0.009285443548944257,-0.07638741285444049,-0.11428876831677716,-0.02975904796934869,-0.022918896604748697,0.03515693847839116,-0.044447896040929684,-0.18235961387899322,0.018036707086648566,-0.048157157711593526,0.1025475708018089,0.06461064807643765,-0.0355631977841897,0.18165016194745978,-0.04473063309840814,0.06678143833026948,0.07205099223008936,-0.1263995501885283,-0.12512116148460636,0.005348962087411935,-0.10410695935793708,-0.063639554532234,-0.05520029958627744,0.060749184922400855,0.011064672225254162,0.02303603186563989,0.05806754644024313,0.0441783535463412,0.13121579573047085,0.1309265290935037,0.038043349377230126,0.0930098750023588,-0.13373697683559746,-0.02524070126244791,-0.014354940205178116,-0.16822799912050765,-0.08840805165937535,0.19766510558782857,0.03547509215642018
