,rbnsp,rbnsn,rbnsp-half,rbnsp-90,rbnsn-90
A1CF,✅,✅,❌,✅,✅
AKAP8L,❌,✅,❌,❌,✅
APOBEC3C,❌,✅,❌,❌,✅
BOLL,✅,✅,✅,✅,✅
CELF1,✅,✅,✅,✅,✅
CNOT4,✅,✅,✅,✅,✅
CPEB1,✅,✅,❌,✅,✅
DAZ3,✅,✅,❌,✅,✅
DAZAP1,✅,✅,❌,❌,❌
EIF3D,❌,✅,❌,❌,❌
EIF4G2,✅,✅,❌,✅,✅
ELAVL4,✅,✅,✅,✅,✅
ESRP1,✅,✅,❌,✅,✅
EWSR1,✅,✅,❌,✅,✅
FUBP1,✅,✅,❌,✅,✅
FUBP3,✅,✅,✅,✅,✅
FUS,✅,✅,✅,✅,✅
HNRNPA0,✅,✅,❌,❌,❌
HNRNPA1,✅,❌,❌,✅,❌
HNRNPA2B1,✅,✅,✅,✅,✅
HNRNPC,✅,✅,✅,✅,✅
HNRNPCL1,✅,✅,❌,✅,✅
HNRNPD,✅,✅,❌,✅,✅
HNRNPDL,✅,✅,✅,✅,✅
HNRNPF,✅,✅,✅,✅,✅
HNRNPH2,✅,✅,❌,✅,✅
HNRNPK,✅,✅,✅,✅,✅
HNRNPL,✅,✅,❌,❌,❌
IGF2BP1,✅,✅,❌,✅,✅
IGF2BP2,✅,✅,❌,✅,✅
IGF2BP3,❌,✅,❌,❌,✅
ILF2,✅,✅,❌,✅,✅
KHDRBS2,✅,✅,❌,✅,✅
KHDRBS3,✅,✅,❌,✅,✅
KHSRP,✅,✅,✅,✅,✅
LIN28B,❌,✅,❌,❌,✅
MBNL1,✅,✅,✅,✅,✅
MSI1,✅,✅,✅,✅,✅
NOVA1,✅,✅,✅,✅,✅
NSUN2,❌,✅,❌,❌,✅
NUPL2,✅,✅,✅,✅,✅
PABPC3,❌,✅,❌,❌,✅
PABPN1L,✅,✅,✅,✅,✅
PCBP1,✅,✅,❌,✅,✅
PCBP2,✅,✅,✅,✅,✅
PCBP4,✅,✅,✅,✅,✅
PPP1R10,❌,✅,❌,❌,✅
PRR3,✅,✅,❌,✅,✅
PTBP3,✅,✅,❌,✅,✅
PUF60,✅,✅,✅,✅,✅
PUM1,✅,✅,✅,✅,✅
RALY,✅,❌,❌,❌,❌
RALYL,❌,✅,❌,❌,✅
RBFOX2,✅,✅,❌,✅,✅
RBFOX3,✅,✅,❌,❌,❌
RBM15B,✅,✅,❌,✅,✅
RBM20,❌,✅,❌,❌,✅
RBM22,✅,✅,✅,✅,✅
RBM23,✅,✅,✅,✅,✅
RBM24,✅,✅,❌,✅,✅
RBM25,✅,✅,✅,✅,✅
RBM3,❌,✅,❌,❌,✅
RBM4,✅,✅,✅,✅,✅
RBM41,✅,✅,✅,✅,✅
RBM45,✅,✅,❌,✅,✅
RBM47,✅,✅,❌,✅,✅
RBM4B,✅,✅,✅,✅,✅
RBM5,❌,✅,❌,❌,❌
RBM6,✅,✅,❌,✅,✅
RBMS2,✅,✅,✅,✅,✅
RBMS3,✅,✅,❌,✅,✅
RC3H1,✅,✅,✅,✅,✅
SAFB2,❌,✅,❌,❌,✅
SF1,✅,✅,✅,✅,✅
SF3B6,❌,✅,❌,❌,❌
SFPQ,✅,✅,✅,✅,✅
SNRPA,✅,✅,✅,✅,✅
SNRPB2,❌,✅,❌,❌,✅
SRSF10,✅,✅,❌,✅,✅
SRSF11,✅,✅,❌,❌,❌
SRSF2,✅,✅,❌,✅,✅
SRSF4,✅,✅,✅,✅,✅
SRSF5,✅,✅,✅,✅,✅
SRSF8,✅,✅,✅,✅,✅
SRSF9,✅,✅,❌,✅,✅
SUCLG1,❌,✅,❌,❌,✅
TAF15,✅,✅,✅,✅,✅
TARDBP,✅,✅,❌,❌,❌
TDRD10,❌,✅,❌,❌,❌
TIA1,✅,✅,✅,✅,✅
TRA2A,✅,✅,❌,✅,✅
TRA2B,❌,✅,❌,❌,✅
TRNAU1AP,✅,✅,❌,❌,❌
TROVE2,❌,✅,❌,❌,✅
UNK,✅,✅,❌,✅,✅
XRCC6,❌,✅,❌,❌,✅
ZC3H10,❌,✅,❌,❌,✅
ZC3H18,❌,✅,❌,❌,✅
ZCRB1,✅,✅,❌,✅,✅
ZFP36,✅,✅,✅,✅,✅
ZFP36L1,❌,✅,❌,❌,✅
ZFP36L2,❌,✅,❌,❌,✅
ZNF326,✅,✅,✅,✅,✅
ZRANB2,❌,✅,❌,❌,✅
