,output_21x2 A,output_21x2 D,output_21x2 B,output_13x4 A,output_13x4 D,output_13x4 B
RBM41,0.023478870098620052,0.017995602377099868,0.006749753779667236,0.04735775439742049,0.03760677869825262,0.007720699410393104
RBM45,0.028735677301899534,0.024619014914838762,0.018192151679134645,0.03425387334427491,0.026276744819168304,0.013822466484529254
RBM47,0.023721152565568254,0.02468980586897083,0.0073581360474938755,0.02649431488090863,0.02655144183895316,0.010932927886022764
RBM4B,0.03738978968731187,0.020312519776002416,0.005051973099429429,0.029565395176604944,0.023576340831133205,0.004775529219312239
RBM6,0.0257624413153854,0.02002484755159139,0.006653230581462675,0.020208488534578167,0.01912548473411465,0.005882706356638109
RBMS2,0.034720654425915536,0.03293650891748765,0.007608590756401336,0.019455816940702992,0.019837943486963792,0.006613503028854848
RBMS3,0.02045972170985328,0.019368607325107243,0.005956531790694137,0.021106361704953124,0.02365113562667401,0.0067033108673840835
RC3H1,0.0,0.00023049114403655033,0.0029669998478564484,0.02449404583016946,0.025632322261373162,0.007385614340656537
SF1,0.02454300412544058,0.01830166220723715,0.02467593761189744,0.03336911151476252,0.03217155704330305,0.01686074198837709
SFPQ,0.018427648049619088,0.01690645926360441,0.003478437888008023,0.027974073771411093,0.030950916801511134,0.0066240908089131205
SNRPA,0.02429890236382974,0.015318060373910812,0.00981803042890341,0.019510466708489778,0.01885428783083058,0.007043328318151771
SRSF10,0.0181670076874962,0.01779324334890281,0.0037565313440295254,0.01993119526308714,0.01847796498172824,0.004518483037304748
SRSF11,0.01924737556143363,0.018087228546093403,0.0033447893768959974,0.02135469438256253,0.02648841953418743,0.005696717335540234
SRSF2,0.04070425561744805,0.03076841377910606,0.005686354907289191,0.045314312341298485,0.038186571563272,0.007666557810087531
SRSF4,0.0216317202908635,0.018276385847096344,0.003599097745435944,0.029830835652959284,0.027245694333646743,0.005740008448517013
SRSF5,0.020071229212245585,0.016810104613808576,0.0033267841414188434,0.024341154930647025,0.024098956720020107,0.005979892502692757
SRSF8,0.02234898248519541,0.018284230695169285,0.004152600416324519,0.026672462701603256,0.025996249214516282,0.005541574370835779
SRSF9,0.02259262709542584,0.01666457290309913,0.003418043721721495,0.028222040460804197,0.027133197851314454,0.005579377529967733
TAF15,0.058471356353427324,0.034688176661536785,0.008217793253022233,0.030651148151215207,0.028501777678527632,0.007929868188093653
TARDBP,0.016952402847124966,0.016551741962444844,0.003018341150244861,0.023964187912531545,0.02871026662627567,0.004602893969287571
TIA1,0.02922366988041318,0.017486006436482994,0.009113334540300938,0.021235779107219604,0.017172021399335692,0.007367331398885854
TRA2A,0.055157030106522266,0.04203788275608072,0.008847084979873077,0.0523343480477039,0.04897373737911481,0.009394158716057704
TRNAU1AP,0.01235818586194802,0.011328909895222795,0.0047078376567031175,0.01356370431065401,0.011810972018099742,0.004937844871913351
UNK,0.03040781743641825,0.03166509854366334,0.0056995770149279685,0.03250752281201603,0.03606101106086799,0.0070011686595288026
ZCRB1,0.019823731871225363,0.016015494497902568,0.011735582274643644,0.011206380057135904,0.012458069121595772,0.006280019825314367
ZFP36,0.02707833826954823,0.022663076304012358,0.014526561896639343,0.052989257778256,0.027418952577300374,0.020501077703684534
ZNF326,0.02892420573568911,0.023754929252211402,0.004907689921993735,0.043877151172946445,0.0360315770517697,0.008109607029736088
