,13x4,13x4+BS,21x2,21x2+BS,Improvement 13x4,Improvement 21x2
RBM45,0.0013333663366336633,0.0009963366336633664,0.0008193069306930693,0.00016386138613861385,-0.2527660206430533,-0.8
RBM47,0.0004732673267326733,0.0011857425742574257,0.0022576237623762375,0.0006515841584158416,1.505439330543933,-0.7113849662310323
RBM4B,0.00021049504950495048,0.0014893069306930694,0.0010559405940594058,0.0006164356435643565,6.075258701787395,-0.41622128457571483
RBM6,0.002384851485148515,0.0011575247524752475,0.0023684158415841583,0.0011079207920792079,-0.5146344501183211,-0.5322101918816102
RBMS2,0.0029355445544554455,0.0011505940594059407,9.188118811881188e-05,0.00342029702970297,-0.6080474889540962,36.22521551724138
RBMS3,0.0036845544554455446,0.0012536633663366337,0.003761683168316832,0.0034454455445544555,-0.6597517063470737,-0.08406811781117574
RC3H1,0.0024894059405940593,0.0008163366336633663,0.0023552475247524754,0.002888217821782178,-0.6720757268424611,0.22629056667227165
SF1,0.0005777227722772278,0.0012466336633663367,0.0004911881188118812,0.0030684158415841584,1.1578406169665811,5.246926022979238
SFPQ,0.0024773267326732673,0.0009685148514851485,0.003012772277227723,0.0017101980198019802,-0.6090483993445506,-0.4323507180650038
SNRPA,0.0018443564356435643,0.0007665346534653465,0.0003712871287128713,0.0010635643564356435,-0.5843890916899291,1.8645333333333332
SRSF10,0.00011584158415841584,0.00015544554455445544,0.0014414851485148514,0.0013001980198019802,0.3418803418803418,-0.09801497355587607
SRSF11,0.0026604950495049506,0.0012928712871287129,0.0026077227722772277,0.0010567326732673268,-0.51404860258271,-0.5947680157946693
SRSF2,0.002783762376237624,0.0008952475247524753,0.002639009900990099,0.0012243564356435644,-0.6784037558685446,-0.5360546259473249
SRSF4,8.118811881188119e-06,0.0013315841584158417,0.002302079207920792,0.0007114851485148514,163.01219512195124,-0.6909380241710035
SRSF5,0.00011148514851485148,0.001088118811881188,0.002181980198019802,0.000989009900990099,8.760213143872113,-0.5467374534894274
SRSF8,0.0024833663366336635,0.000956039603960396,0.002166138613861386,0.001268910891089109,-0.6150227254604896,-0.4142060517414754
SRSF9,8.118811881188119e-06,0.0012342574257425743,0.0023343564356435643,0.0013028712871287129,151.02439024390245,-0.4418713152648768
TAF15,0.0009228712871287129,0.0007226732673267326,0.00026158415841584157,0.00048,-0.21692951400064375,0.8349735049205149
TARDBP,0.002842871287128713,0.0009421782178217822,0.0027955445544554456,0.0017667326732673267,-0.6685821753212831,-0.368018416858509
TIA1,0.003218217821782178,0.001210990099009901,0.0024695049504950494,0.0028864356435643564,-0.6237078513413734,0.16883168951968575
TRA2A,0.002157128712871287,0.0012473267326732673,0.0019321782178217822,0.0012533663366336633,-0.4217652728691421,-0.3513194978221881
TRNAU1AP,0.0007437623762376238,0.0008893069306930694,0.002349207920792079,0.0020803960396039603,0.19568690095846653,-0.11442660260462767
UNK,2.4752475247524753e-06,0.0017292079207920793,2.3762376237623762e-05,0.0036585148514851483,697.6,152.96249999999998
ZCRB1,0.0037365346534653466,0.0019245544554455445,0.0035287128712871286,0.00034762376237623764,-0.4849360078433451,-0.9014870931537599
ZFP36,0.0005774257425742574,0.0008705940594059406,0.0004992079207920792,0.0029577227722772277,0.5077160493827162,4.924831416104721
ZNF326,0.0022074257425742576,0.0010393069306930693,0.001965049504950495,0.0010942574257425742,-0.5291769455034762,-0.44314002116188844
