,HepG2,K562
AARS,16,41
AATF,14,2
ABCF1,124,93
ACO1,204,0
ADAR,26,25
AGGF1,0,2436
AKAP1,711,8
AKAP8,86,259
AKAP8L,136,2100
APOBE,63,0
APOBEC3C,0,318
AQR,0,16766
ASCC1,216,2
ATP5C1,22,416
AUH,218,4
BCCIP,103,16
BCLAF1,135,81
BOP1,620,388
BUD13,9,102
CALR,58,0
CCAR1,436,63
CCDC124,0,68
CEBPZ,1,0
CIRBP,295,4
CKAP4,512,37
CNOT7,396,906
CPEB4,0,22
CPSF6,483,397
CPSF7,45,17
CSDA,38,13
CSTF2,28,75
CSTF2T,3,0
CUGBP1,250,203
DAZAP1,140,90
DDX1,4,6
DDX19B,168,40
DDX21,192,0
DDX24,14,1
DDX27,52,6
DDX28,14,0
DDX3X,571,23
DDX47,62,1187
DDX5,156,0
DDX51,0,1
DDX52,13,0
DDX55,214,12
DDX59,409,0
DDX6,485,17
DHX30,61,18
DKC1,164,149
DNAJC2,122,29
DNAJC21,114,37
EEF2,159,66
EFTUD2,134,1043
EIF2C1,36,15
EIF2S1,453,14
EIF2S2,117,71
EIF3A,0,596
EIF3D,152,479
EIF3G,14,228
EIF4A3,1315,2637
EIF4B,514,8
EIF4G1,109,39
EIF4G2,106,420
ESF1,66,50
ETF1,635,0
EWSR1,670,19
EXOSC9,54,26
FAM120A,52,0
FASTKD1,1,0
FASTKD2,17,0
FIP1L1,343,134
FKBP4,8,64
FMR1,14,384
FTO,563,175
FUBP3,136,13
FUS,162,2
FXR1,248,1293
G3BP1,469,30
G3BP2,294,282
GEMIN5,119,15
GLRX3,0,76
GNB2L1,57,0
GPKOW,503,168
GRSF1,73,214
GRWD1,23,2
GTF2F1,20,5
HDGF,60,0
HLTF,45,45
HNRNPA0,26,234
HNRNPA1,220,221
HNRNPA2B1,22,2613
HNRNPAB,17,258
HNRNPC,1194,3302
HNRNPD,89,0
HNRNPF,0,89
HNRNPK,1889,1015
HNRNPL,644,819
HNRNPLL,561,0
HNRNPM,281,290
HNRNPU,961,1666
HNRNPUL1,217,715
HSPD1,158,194
IGF2BP2,368,106
IGF2BP3,512,67
ILF2,207,671
ILF3,152,24
KHDRBS1,118,29
KHSRP,269,92
KIAA1967,10,25
KIF1C,55,1296
KRR1,169,317
LARP4,413,276
LARP7,42,48
LIN28B,61,13
LSM11,5,1
MAGOH,1817,966
MAK16,0,365
MARK2,3,0
MATR3,1124,270
MBNL1,0,644
METAP2,368,164
MSI2,147,285
MTPAP,211,267
NAA15,34,1871
NCBP2,800,96
NFX1,0,4
NIP7,18,0
NKRF,59,0
NOL12,156,236
NONO,227,14
NPM1,180,237
NSUN2,287,302
NUFIP2,315,0
NUP35,25,0
NUSAP1,6,47
PA2G4,144,0
PABPC1,450,390
PABPC4,415,24
PABPN1,0,1891
PARN,86,1
PCBP1,927,172
PCBP2,334,1326
PES1,9,0
PHF6,1,29
PKM2,100,72
PNPT1,81,39
PPIG,43,95
PPIL4,106,132
PPP1R8,0,1343
PRPF4,167,0
PRPF6,51,21
PRPF8,427,1701
PSIP1,15,95
PTBP1,834,1278
PUF60,2941,4568
PUM1,295,268
PUM2,568,110
PUS1,173,4783
QKI,482,28
RAVER1,939,74
RBFOX2,262,31
RBM15,265,2578
RBM17,747,233
RBM22,844,341
RBM25,872,329
RBM27,115,0
RBM34,3,4
RBM39,487,3332
RBM47,38,0
RCC2,72,85
RDBP,311,106
RECQL,89,9
RNASEN50,0,307
RPL23A,1,0
RPS10,55,4
RPS19,327,775
RPS2,145,0
RPS3A,456,201
RPS5,43,0
RRP9,564,32
RTF1,12,36
SAFB2,152,4
SART3,57,270
SBDS,35,206
SERBP1,200,161
SF1,679,3776
SF3A3,2536,951
SF3B1,1625,1197
SF3B4,1097,2968
SFPQ,787,882
SLBP,164,38
SLTM,74,4
SMN1,83,117
SMNDC1,72,76
SND1,19,10
SNRNP200,454,2114
SNRNP70,1419,0
SRFBP1,2550,28
SRP68,19,41
SRPK2,0,140
SRSF1,2309,2822
SRSF3,1298,0
SRSF5,574,38
SRSF9,618,0
SSB,439,49
SSRP1,49,56
STAU1,28,152
STIP1,86,250
SUB1,10,3
SUCLG1,185,34
SUGP2,70,1312
SUPT6H,107,1534
SUPV3L1,458,614
TAF15,356,54
TARDBP,322,1644
TBRG4,530,44
TFIP11,140,47
TIA1,226,74
TIAL1,515,69
TRA2A,43,31
TRIM56,221,144
TRIP6,0,92
TROVE2,26,47
TUFM,384,11
U2AF1,3807,2257
U2AF2,4192,2758
UBE2L3,450,30
UCHL5,153,110
UPF1,74,300
UPF2,61,1
UTP18,10,1974
UTP3,463,75
WDR3,0,204
WDR43,0,182
WRN,0,24
XPO5,93,636
XRCC5,32,50
XRCC6,182,562
XRN2,109,101
YTHDC2,0,1392
ZC3H8,204,435
ZNF622,221,0
ZRANB2,34,34
